time_stamp,ask_price,ask_size,bid_price,bid_size,close_price,high_price,last_price,low_price
1492391460.16,0.0,0,1.0833,0,0,0,0,0
1492391460.16,0.0,5000000,0.0,0,0,0,0,0
1492391460.16,0.0,5000000,0.0,0,0,0,0,0
1492391460.16,1.0836,0,0.0,0,0,0,0,0
1492391460.16,0.0,0,0.0,1000000,0,0,0,0
1492391460.16,0.0,0,0.0,1000000,0,0,0,0
1492391460.24,0.0,0,0.0,0,0,0,0,0
1492391460.24,0.0,0,1.0836,0,0,0,0,0
1492391460.24,0.0,1000000,0.0,0,0,0,0,0
1492391460.24,1.08361,0,0.0,0,0,0,0,0
1492391460.24,0.0,0,0.0,1500000,0,0,0,0
1492391460.24,0.0,1000000,0.0,0,0,0,0,0
1492391460.24,0.0,0,0.0,1500000,0,0,0,0
1492391460.66,0.0,0,0.0,1000000,0,0,0,0
1492391462.2,0.0,0,0.0,2000000,0,0,0,0
1492391462.91,0.0,3000000,0.0,0,0,0,0,0
1492391465.42,0.0,0,0.0,1000000,0,0,0,0
1492391466.92,0.0,0,0.0,2000000,0,0,0,0
1492391467.5,0.0,0,1.08391,0,0,0,0,0
1492391467.5,0.0,5000000,0.0,0,0,0,0,0
1492391467.5,1.08393,0,0.0,0,0,0,0,0
1492391467.5,0.0,0,0.0,1000000,0,0,0,0
1492391467.5,0.0,5000000,0.0,0,0,0,0,0
1492391467.5,0.0,0,0.0,1000000,0,0,0,0
1492391468.32,0.0,0,1.08392,0,0,0,0,0
1492391468.32,0.0,1000000,0.0,0,0,0,0,0
1492391468.32,0.0,1000000,0.0,0,0,0,0,0
1492391472.05,0.0,1,0.0,0,0,0,0,0
1492391474.93,0.0,187000,0.0,0,0,0,0,0
1492391476.44,0.0,0,0.0,2000000,0,0,0,0
1492391477.23,0.0,0,0.0,1000000,0,0,0,0
1492391478.36,0.0,1000000,0.0,0,0,0,0,0
1492391479.69,0.0,500000,0.0,0,0,0,0,0
1492391483.48,0.0,1000000,0.0,0,0,0,0,0
1492391489.1,0.0,0,1.08394,0,0,0,0,0
1492391489.1,0.0,1000000,0.0,0,0,0,0,0
1492391489.1,1.08396,0,0.0,0,0,0,0,0
1492391489.1,0.0,0,0.0,1000000,0,0,0,0
1492391489.11,0.0,0,1.08395,0,0,0,0,0
1492391489.11,0.0,3000000,0.0,0,0,0,0,0
1492391489.11,0.0,3000000,0.0,0,0,0,0,0
1492391490.87,0.0,0,1.08394,0,0,0,0,0
1492391490.87,0.0,500000,0.0,0,0,0,0,0
1492391490.87,1.08395,0,0.0,0,0,0,0,0
1492391490.87,0.0,0,0.0,1000000,0,0,0,0
1492391490.87,0.0,500000,0.0,0,0,0,0,0
1492391493.35,0.0,0,1.08362,0,0,0,0,0
1492391493.35,0.0,1000000,0.0,0,0,0,0,0
1492391493.35,1.08363,0,0.0,0,0,0,0,0
1492391493.35,0.0,0,0.0,5000000,0,0,0,0
1492391493.35,0.0,1000000,0.0,0,0,0,0,0
1492391493.35,0.0,0,0.0,5000000,0,0,0,0
1492391494.97,0.0,500000,0.0,0,0,0,0,0
1492391498.01,0.0,0,1.08381,0,0,0,0,0
1492391498.01,0.0,5000000,0.0,0,0,0,0,0
1492391498.01,1.08386,0,0.0,0,0,0,0,0
1492391498.01,0.0,0,0.0,1000000,0,0,0,0
1492391498.01,0.0,5000000,0.0,0,0,0,0,0
1492391498.01,0.0,0,0.0,1000000,0,0,0,0
1492391498.01,0.0,0,1.08384,0,0,0,0,0
1492391498.01,0.0,187000,0.0,0,0,0,0,0
1492391498.01,0.0,187000,0.0,0,0,0,0,0
1492391498.63,0.0,0,1.08385,0,0,0,0,0
1492391498.63,0.0,500000,0.0,0,0,0,0,0
1492391498.63,0.0,500000,0.0,0,0,0,0,0
1492391501.09,0.0,2000000,0.0,0,0,0,0,0
1492391503.64,0.0,1000000,0.0,0,0,0,0,0
1492391506.52,0.0,0,1.08417,0,0,0,0,0
1492391506.52,0.0,5000000,0.0,0,0,0,0,0
1492391506.52,1.08418,0,0.0,0,0,0,0,0
1492391506.52,0.0,0,0.0,1000000,0,0,0,0
1492391506.52,0.0,5000000,0.0,0,0,0,0,0
1492391507.23,0.0,0,1.0842,0,0,0,0,0
1492391507.23,0.0,1000000,0.0,0,0,0,0,0
1492391507.23,1.08421,0,0.0,0,0,0,0,0
1492391507.23,0.0,0,0.0,1000000,0,0,0,0
1492391507.23,0.0,1000000,0.0,0,0,0,0,0
1492391509.97,0.0,0,0.0,2000000,0,0,0,0
1492391510.48,0.0,0,1.08422,0,0,0,0,0
1492391510.48,0.0,1000000,0.0,0,0,0,0,0
1492391510.48,1.08423,0,0.0,0,0,0,0,0
1492391510.48,0.0,0,0.0,1000000,0,0,0,0
1492391510.48,0.0,0,0.0,1000000,0,0,0,0
1492391512.77,0.0,0,0.0,1500000,0,0,0,0
1492391513.65,0.0,0,1.08423,0,0,0,0,0
1492391513.65,0.0,1000000,0.0,0,0,0,0,0
1492391513.65,1.08424,0,0.0,0,0,0,0,0
1492391513.65,0.0,0,0.0,1000000,0,0,0,0
1492391513.65,0.0,0,0.0,1000000,0,0,0,0
1492391514.26,0.0,3000000,0.0,0,0,0,0,0
1492391516.52,0.0,0,1.08425,0,0,0,0,0
1492391516.52,0.0,500000,0.0,0,0,0,0,0
1492391516.52,1.08426,0,0.0,0,0,0,0,0
1492391516.52,0.0,0,0.0,3000000,0,0,0,0
1492391516.52,0.0,500000,0.0,0,0,0,0,0
1492391516.52,0.0,0,0.0,3000000,0,0,0,0
